# Exemplo de dataset.csv com dados sintéticos para testar o pipeline completo. Ele simula um conjunto de dados com variáveis 
# numéricas e uma coluna target binária — ideal para treinar um modelo de classificação como no train.py.

# ✅ Como usar:
# 1. Crie a pasta data/ no seu projeto:
# mkdir -p data
# 2. Salve o conteúdo acima como data/dataset.csv.
# 3. Execute o pipeline com:
# dvc repro

feature_1,feature_2,feature_3,feature_4,target
5.1,3.5,1.4,0.2,0
4.9,3.0,1.4,0.2,0
6.2,3.4,5.4,2.3,1
5.9,3.0,5.1,1.8,1
6.7,3.1,4.7,1.5,1
5.0,3.6,1.4,0.2,0
6.4,3.2,4.5,1.5,1
5.4,3.9,1.7,0.4,0
6.9,3.1,5.1,2.3,1
5.1,3.8,1.5,0.3,0
